ts,row_type,session,participant,task,phase,block_id,ear,ear_base,ear_thr,blink_count,is_closed,long_close,gaze,gaze_thr,gaze_bias,gaze_offlvl,risk,alert,event,info
1763960355.8933504,frame,,,,train,,0.5312965950365256,0.5306015478273474,0.4244812382618779,32,False,False,-0.14489516260981095,0.35,-4.558595267414855,1.5519909983306357e-67,1.4355128371624743e-08,0,,
1763960355.9268336,frame,,,,train,,0.5341901359959562,0.5307809772357778,0.42462478178862223,32,False,False,-0.13835794759721942,0.35,-4.558595267414855,1.3967918984975721e-67,1.004858986013732e-08,0,,
1763960355.9733567,frame,,,,train,,0.5335583057648738,0.5309198436622325,0.42473587492978604,32,False,False,-0.13293287046546887,0.35,-4.558595267414855,1.257112708647815e-67,7.034012902096124e-09,0,,
1763960356.0055733,frame,,,,train,,0.5335630927743572,0.5310520061178388,0.42484160489427103,32,False,False,-0.11639025298852346,0.35,-4.558595267414855,1.1314014377830335e-67,4.923809031467287e-09,0,,
1763960356.0374317,frame,,,,train,,0.5303389106869705,0.5310481572613875,0.4248385258091101,32,False,False,-0.1008025205110652,0.35,-4.558595267414855,1.0182612940047302e-67,3.4466663220271006e-09,0,,
1763960356.0700932,frame,,,,train,,0.5353187915244424,0.5312616889745402,0.4250093511796322,32,False,False,-0.09707323410421687,0.35,-4.558595267414855,9.164351646042572e-68,2.41266642541897e-09,0,,
1763960356.1010563,frame,,,,train,,0.5320183649199555,0.5312995227718109,0.42503961821744873,32,False,False,-0.08994449563255102,0.35,-4.558595267414855,8.247916481438316e-68,1.6888664977932789e-09,0,,
1763960356.1327622,frame,,,,train,,0.5360830256487267,0.5315386979156567,0.42523095833252533,32,False,False,-0.08375398538828449,0.35,-4.558595267414855,7.423124833294484e-68,1.1822065484552951e-09,0,,
1763960356.1668565,frame,,,,train,,0.5320062022322278,0.5315906075891698,0.42527248607133583,32,False,False,-0.08176697704793234,0.35,-4.558595267414855,6.680812349965036e-68,8.275445839187066e-10,0,,
1763960356.1987712,frame,,,,train,,0.5345231301410911,0.5317372337167658,0.4253897869734127,32,False,False,-0.09535596701225835,0.35,-4.558595267414855,6.012731114968532e-68,5.792812087430946e-10,0,,
1763960356.2302048,frame,,,,train,,0.5370469560278108,0.5320027198323181,0.42560217586585447,32,False,False,-0.10293371885790492,0.35,-4.558595267414855,5.411458003471679e-68,4.0549684612016623e-10,0,,
1763960356.262581,frame,,,,train,,0.5367422097261345,0.5322396943270089,0.42579175546160714,32,False,False,-0.11293521688762276,0.35,-4.558595267414855,4.870312203124511e-68,2.8384779228411635e-10,0,,
1763960356.2951353,frame,,,,train,,0.5346586561204456,0.5323606424166807,0.4258885139333446,32,False,False,-0.10939031329637672,0.35,-4.558595267414855,4.38328098281206e-68,1.9869345459888143e-10,0,,
1763960356.3271515,frame,,,,train,,0.5352480605915446,0.5325050133254239,0.4260040106603391,32,False,False,-0.12897879118332867,0.35,-4.558595267414855,3.9449528845308545e-68,1.39085418219217e-10,0,,
1763960356.3734736,frame,,,,train,,0.5347772014158292,0.5326186227299441,0.4260948981839553,32,False,False,-0.15031631050754424,0.35,-4.558595267414855,3.550457596077769e-68,9.735979275345188e-11,0,,
1763960356.4051044,frame,,,,train,,0.5358032950133473,0.5327778563441141,0.4262222850752913,32,False,False,-0.15020424142889865,0.35,-4.558595267414855,3.1954118364699923e-68,6.815185492741631e-11,0,,
1763960356.4365017,frame,,,,train,,0.5297792416566747,0.5328313765866981,0.4262651012693585,32,False,False,-0.14242475570672042,0.35,-4.558595267414855,2.875870652822993e-68,4.7706298449191415e-11,0,,
1763960356.46862,frame,,,,train,,0.4696949571596353,0.5322406877767913,0.4257925502214331,32,False,False,-0.15918750301945916,0.35,-4.558595267414855,2.5882835875406937e-68,3.339440891443399e-11,0,,
1763960356.5012007,frame,,,,train,,0.38014926925587433,0.530270850096053,0.42421668007684243,32,True,False,-0.07136878562161098,0.35,-4.558595267414855,2.3294552287866245e-68,0.030000000023376085,0,,
1763960356.5329623,frame,,,,train,,0.3810498258553746,0.530270850096053,0.42421668007684243,32,True,False,-0.015344493443934404,0.35,-4.558595267414855,2.096509705907962e-68,0.05100000001636326,0,,
1763960356.5661156,frame,,,,train,,0.4304492366858319,0.530270850096053,0.42421668007684243,33,False,False,-0.066874542099427,0.35,-4.558595267414855,1.8868587353171657e-68,0.03570000001145428,0,,
1763960356.5979059,frame,,,,train,,0.45996835369477496,0.5268561086217071,0.4214848868973657,33,False,False,-0.11611503501124254,0.35,-4.558595267414855,1.6981728617854492e-68,0.024990000008017994,0,,
1763960356.6297305,frame,,,,train,,0.48166806143194607,0.524596706262219,0.4196773650097752,33,False,False,-0.16165413685683294,0.35,-4.558595267414855,1.5283555756069043e-68,0.017493000005612595,0,,
1763960356.6618414,frame,,,,train,,0.4914962500319899,0.5229416834507076,0.41835334676056607,33,False,False,-0.159287593297881,0.35,-4.558595267414855,1.3755200180462139e-68,0.012245100003928816,0,,
